Rank	Vector Label	Distance	
1	Heavy Metal/11 The Shadowman.mp3	68.5923	
2	Heavy Metal/04 The Day That Never Comes.mp3	69.5149	
3	Heavy Metal/03 Fist of the Dragon.mp3	71.1175	
4	Heavy Metal/09 Wheels of Purgatory.mp3	72.2314	
5	Heavy Metal/05 All Nightmare Long.mp3	72.3635	
6	Heavy Metal/12 Fire 99.mp3	75.4474	
7	Heavy Metal/13 Electric Rise (Bonus).mp3	75.7571	
8	Heavy Metal/09 Suicide And Redemption.mp3	77.0774	
9	Heavy Metal/10 The Church (of Booze and Kerosene).mp3	77.5096	
10	Heavy Metal/03 Broken, Beat And Scarred.mp3	78.5577	
11	Heavy Metal/08 Down to Zero.mp3	78.9218	
12	Heavy Metal/06 Hammer of the Lord.mp3	78.9297	
13	Heavy Metal/05 Fuel the Warmachine.mp3	79.6005	
14	Heavy Metal/So Far Away.mp3	79.6081	
15	Heavy Metal/07 West of Hell.mp3	81.0184	
16	Heavy Metal/02 The End Of The Line.mp3	83.4966	
17	Heavy Metal/04 King of the Dead End Road.mp3	83.8082	
18	Heavy Metal/02 Enslaved.mp3	83.863	
19	Electro/08 Orchestral Suite By Varien (Bonus Track).mp3	85.7599	
20	Heavy Metal/11 Save Me.mp3	86.4205	
21	Heavy Metal/06 Cyanide.mp3	86.8862	
22	Heavy Metal/08 The Judas Kiss.mp3	89.2077	
23	Heavy Metal/07 God Hates Us.mp3	90.4116	
24	Heavy Metal/10 My Apocalypse.mp3	94.5535	
25	Electro/03 Breakn' A Sweat (Skrillex & The Doors).mp3	94.6078	
26	Heavy Metal/05 Natural Born Killer.mp3	94.6503	
27	Heavy Metal/01 Bitter Pill.mp3	96.1866	
28	Jazz/06 Chan's Song (Never Said).mp3	96.2649	
29	Heavy Metal/11 Don't Go Away Mad (Just Go Away).mp3	98.8856	
30	Heavy Metal/01 Nightmare.mp3	99.8426	
31	Jazz/16 Pearls.mp3	100.066	
32	Heavy Metal/14 Primal Scream.mp3	101.4157	
33	Hip Hop/The Horror.mp3	101.4667	
34	Heavy Metal/07 Dr. Feelgood.mp3	101.8691	
35	Heavy Metal/08 Victim.mp3	102.8784	
36	Jazz/12 Like A Tattoo.mp3	103.0953	
37	Heavy Metal/09 Home Sweet Home.mp3	103.3325	
38	Heavy Metal/10 Afraid.mp3	103.9973	
39	Heavy Metal/Ace of spades.mp3	104.1884	
40	Hip Hop/28 She Will.mp3	105.4788	
41	Electro/01 First Of The Year (Equinox) - Original Mix.mp3	106.5504	
42	Classic/15 Sonata No. 2 in A minor_ Andante.mp3	107.6687	
43	Classic/12 - Poco Allegro, Stringendo Il.mp3	107.7743	
44	Heavy Metal/01 That Was Just Your Life.mp3	108.4357	
45	Heavy Metal/17 Shout At The Devil.mp3	109.8904	
46	Jazz/08 Don't Explain (with Damien Rice & Lisa Hannigan).mp3	112.7595	
47	Heavy Metal/01 Ignition.mp3	113.9145	
48	Heavy Metal/Motley Crue - Dr. Feelgood.mp3	116.2533	
49	Electro/11 Rocket In The Sky (Club Mix).mp3	117.2657	
50	Classic/Marriage Of Figaro.mp3	118.4293	
