Rank	Vector Label	Distance	
1	Electro/13 Bootleg Megamix.mp3	113.3262	
2	Electro/11 No Matter What You Do.mp3	127.7437	
3	Electro/09 I Love My Sex.mp3	134.525	
4	Electro/08 Put Your Hands Up.mp3	150.4267	
5	Electro/04 Satisfaction.mp3	151.2169	
6	Electro/05 Time.mp3	162.5766	
7	Electro/02 Raw Chicken.mp3	171.0161	
8	Electro/09 Raw Chicken.mp3	174.4397	
9	Electro/10 The Spell (Original Mix).mp3	174.5139	
10	Electro/01 The Spell.mp3	177.2098	
11	Electro/10 Love Is Gonna Save Us.mp3	181.5151	
12	Electro/To The Stars.mp3	181.6999	
13	Electro/09 Satisfaction (B.Deep Remix).mp3	181.9796	
14	Electro/07 Green Bottle (Original Mix).mp3	187.7416	
15	Electro/04 Embers (feat. Lindsay).mp3	188.2952	
16	Electro/02 Silicone Lube (Original Mix).mp3	193.8893	
17	Electro/08 No Matter What You Do (Vision X Long Mix).mp3	194.2398	
18	Electro/12 Feel Alive.mp3	195.7576	
19	Electro/13 Rocket In The Sky.mp3	196.2204	
20	Electro/04 The Devil's Den (Skrillex & Wolfgang Gartner).mp3	198.3335	
21	Hip Hop/01 Make Me Proud (feat. Nicki Minaj).mp3	200.7411	
22	Heavy Metal/08 Victim.mp3	201.8532	
23	Electro/10 Illusion (Sfaction Mix).mp3	202.8788	
24	Electro/04 Scary Monsters And Nice Sprites - Dirtyphonics Remix.mp3	203.0967	
25	Electro/01 In Tango (Sfaction Extended).mp3	207.0443	
26	Electro/06 Scary Monsters And Nice Sprites - The Juggernaut Remix.mp3	208.3099	
27	Heavy Metal/01 Nightmare.mp3	208.5157	
28	Electro/11 Rocket In The Sky (Club Mix).mp3	208.6329	
29	Electro/06 Able To Love.mp3	208.6446	
30	Heavy Metal/13 Smokin' In The Boys Room.mp3	209.8677	
31	Heavy Metal/06 Cyanide.mp3	209.8754	
32	Electro/02 Relocation.mp3	211.6692	
33	Electro/Strange Behaviour.mp3	211.9505	
34	Electro/04 Muscle Rollers (Original Mix).mp3	213.9032	
35	Electro/02 Get Better (Sfaction Reloaded Mix).mp3	215.0018	
36	Electro/08 Talk to Me (Original Mix).mp3	216.0185	
