Rank	Vector Label	Distance	
1	Electro/05 Love Is Gonna Save Us (Remix 2007).mp3	0.6665	
2	Electro/12 Feel Alive (Fuzzy Hair Vocal Mix).mp3	0.6687	
3	Electro/07 Scary Monsters And Nice Sprites - Kaskade Remix.mp3	0.7472	
4	Electro/02 Stop Go.mp3	0.7508	
5	Electro/14 Every Single Day.mp3	0.7654	
6	Jazz/09 Paradise.mp3	0.7757	
7	Electro/03 No No No (Sfaction Mix).mp3	0.7846	
8	Hip Hop/19 The Motto (feat. Lil Wayne) [Bonus Track].mp3	0.7855	
9	Hip Hop/10 XR2.mp3	0.7922	
10	Jazz/15 Cherish The Day.mp3	0.7972	
11	Electro/09 Satisfaction (B.Deep Remix).mp3	0.799	
12	Jazz/10 Nothing Can Come Between Us.mp3	0.8024	
13	Electro/08 No Matter What You Do (Vision X Long Mix).mp3	0.803	
14	Electro/05 Time.mp3	0.8032	
15	Electro/Chain Smoker.mp3	0.8054	
16	Hip Hop/08 93 'til infinity.mp3	0.8067	
17	Hip Hop/The Proxy.mp3	0.8086	
18	Electro/05 Trichitillomania.mp3	0.8091	
19	Jazz/02 Hang On To Your Love.mp3	0.8091	
20	Electro/06 Able To Love.mp3	0.8132	
21	Electro/10 Love Is Gonna Save Us.mp3	0.8145	
22	Hip Hop/06 Girls.mp3	0.8148	
23	Electro/06 Who's Your Daddy (Fuzzy Hair Remix).mp3	0.8164	
24	Electro/02 Get Better (Sfaction Reloaded Mix).mp3	0.8169	
25	Jazz/11 No Ordinary Love.mp3	0.8186	
26	Jazz/05 The Sweetest Taboo.mp3	0.8192	
27	Jazz/03 Smooth Operator.mp3	0.8265	
28	Hip Hop/08 Hey Ladies.mp3	0.8271	
29	Electro/12 Feel Alive.mp3	0.8273	
30	Hip Hop/04 Jimmy.mp3	0.8295	
31	Hip Hop/11 Paper Planes.mp3	0.8317	
32	Hip Hop/01 Bamboo Banga.mp3	0.8317	
33	Hip Hop/05 Ms. Jackson.mp3	0.8362	
34	Jazz/01 Chasing Pirates.mp3	0.838	
35	Hip Hop/07 So What'cha Want.mp3	0.8383	
36	Electro/01 White Spirit (Original Mix).mp3	0.8384	
37	Electro/08 Talk to Me (Original Mix).mp3	0.8451	
38	Hip Hop/07 Get It Together.mp3	0.8456	
39	Electro/07 Get Loose.mp3	0.8468	
40	Electro/02 Relocation.mp3	0.8485	
41	Hip Hop/28 Not Affraid.mp3	0.8486	
42	Hip Hop/02 Bird Flu.mp3	0.8492	
43	Heavy Metal/06 Glitter (Remix).mp3	0.8502	
44	Electro/04 Muscle Rollers (Original Mix).mp3	0.851	
