Rank	Vector Label	Distance	
1	Heavy Metal/04 The Day That Never Comes.mp3	57.1329	
2	Heavy Metal/05 All Nightmare Long.mp3	68.1087	
3	Heavy Metal/03 Fist of the Dragon.mp3	68.983	
4	Heavy Metal/09 Wheels of Purgatory.mp3	69.4535	
5	Heavy Metal/06 Cyanide.mp3	69.5704	
6	Heavy Metal/13 Electric Rise (Bonus).mp3	71.1104	
7	Heavy Metal/11 Save Me.mp3	72.7043	
8	Heavy Metal/12 Fire 99.mp3	73.1962	
9	Heavy Metal/10 The Church (of Booze and Kerosene).mp3	73.2227	
10	Heavy Metal/05 Fuel the Warmachine.mp3	73.8313	
11	Heavy Metal/08 Down to Zero.mp3	74.5972	
12	Heavy Metal/11 Don't Go Away Mad (Just Go Away).mp3	74.793	
13	Heavy Metal/11 The Shadowman.mp3	74.9153	
14	Heavy Metal/So Far Away.mp3	75.4414	
15	Heavy Metal/04 King of the Dead End Road.mp3	77.9504	
16	Heavy Metal/07 West of Hell.mp3	78.0077	
17	Heavy Metal/09 Suicide And Redemption.mp3	78.1857	
18	Heavy Metal/02 Motor Discipline.mp3	78.5577	
19	Heavy Metal/08 The Judas Kiss.mp3	79.711	
20	Heavy Metal/10 Afraid.mp3	80.9245	
21	Heavy Metal/06 Hammer of the Lord.mp3	81.5205	
22	Electro/08 Orchestral Suite By Varien (Bonus Track).mp3	82.4865	
23	Heavy Metal/02 Enslaved.mp3	82.6382	
24	Heavy Metal/10 My Apocalypse.mp3	83.6195	
25	Heavy Metal/07 God Hates Us.mp3	83.6494	
26	Heavy Metal/02 The End Of The Line.mp3	84.5607	
27	Heavy Metal/05 Natural Born Killer.mp3	84.9851	
28	Heavy Metal/01 Nightmare.mp3	87.5881	
29	Electro/03 Breakn' A Sweat (Skrillex & The Doors).mp3	88.912	
30	Hip Hop/The Horror.mp3	89.219	
31	Heavy Metal/01 Bitter Pill.mp3	92.9882	
32	Heavy Metal/08 Victim.mp3	93.117	
33	Heavy Metal/14 Primal Scream.mp3	94.3423	
34	Jazz/06 Chan's Song (Never Said).mp3	96.3563	
35	Jazz/06 Is It A Crime.mp3	98.4195	
36	Hip Hop/28 She Will.mp3	99.5341	
